Q149,Q58_1_TEXT,Q58_2_TEXT,Q58_3_TEXT,Q58_4_TEXT,Q58_5_TEXT,Q58_6_TEXT,Q58_7_TEXT,Q58_8_TEXT,Q58_9_TEXT,Q58_10_TEXT,Q3(1),Q3(2),Q3(3),Q3(4),Q3(5),Q3(6),Q3(7),Q3(8),Q3(9),Q3(10),Q4(1),Q4_TEXT(1),Q4(2),Q4_TEXT(2),Q4(3),Q4_TEXT(3),Q4(4),Q4_TEXT(4),Q4(5),Q4_TEXT(5),Q4(6),Q4_TEXT(6),Q4(7),Q4_TEXT(7),Q4(8),Q4_TEXT(8),Q4(9),Q4_TEXT(9),Q4(10),Q4_TEXT(10),Q5(1),Q5_TEXT(1),Q5(2),Q5_TEXT(2),Q5(3),Q5_TEXT(3),Q5(4),Q5_TEXT(4),Q5(5),Q5_TEXT(5),Q5(6),Q5_TEXT(6),Q5(7),Q5_TEXT(7),Q5(8),Q5_TEXT(8),Q5(9),Q5_TEXT(9),Q5(10),Q5_TEXT(10),Q6(1),Q6_TEXT(1),Q6(2),Q6_TEXT(2),Q6(3),Q6_TEXT(3),Q6(4),Q6_TEXT(4),Q6(5),Q6_TEXT(5),Q6(6),Q6_TEXT(6),Q6(7),Q6_TEXT(7),Q6(8),Q6_TEXT(8),Q6(9),Q6_TEXT(9),Q6(10),Q6_TEXT(10),Q7(1),Q7(2),Q7(3),Q7(4),Q7(5),Q7(6),Q7(7),Q7(8),Q7(9),Q7(10),Q8(1),Q8_TEXT(1),Q8(2),Q8_TEXT(2),Q8(3),Q8_TEXT(3),Q8(4),Q8_TEXT(4),Q8(5),Q8_TEXT(5),Q8(6),Q8_TEXT(6),Q8(7),Q8_TEXT(7),Q8(8),Q8_TEXT(8),Q8(9),Q8_TEXT(9),Q8(10),Q8_TEXT(10),Q9(1),Q9_TEXT(1),Q9(2),Q9_TEXT(2),Q9(3),Q9_TEXT(3),Q9(4),Q9_TEXT(4),Q9(5),Q9_TEXT(5),Q9(6),Q9_TEXT(6),Q9(7),Q9_TEXT(7),Q9(8),Q9_TEXT(8),Q9(9),Q9_TEXT(9),Q9(10),Q9_TEXT(10),Q10(1),Q10_TEXT(1),Q10(2),Q10_TEXT(2),Q10(3),Q10_TEXT(3),Q10(4),Q10_TEXT(4),Q10(5),Q10_TEXT(5),Q10(6),Q10_TEXT(6),Q10(7),Q10_TEXT(7),Q10(8),Q10_TEXT(8),Q10(9),Q10_TEXT(9),Q10(10),Q10_TEXT(10),Q11(1),Q11(2),Q11(3),Q11(4),Q11(5),Q11(6),Q11(7),Q11(8),Q11(9),Q11(10),Q12(1),Q12_TEXT(1),Q12(2),Q12_TEXT(2),Q12(3),Q12_TEXT(3),Q12(4),Q12_TEXT(4),Q12(5),Q12_TEXT(5),Q12(6),Q12_TEXT(6),Q12(7),Q12_TEXT(7),Q12(8),Q12_TEXT(8),Q12(9),Q12_TEXT(9),Q12(10),Q12_TEXT(10),Q13(1),Q13_TEXT(1),Q13(2),Q13_TEXT(2),Q13(3),Q13_TEXT(3),Q13(4),Q13_TEXT(4),Q13(5),Q13_TEXT(5),Q13(6),Q13_TEXT(6),Q13(7),Q13_TEXT(7),Q13(8),Q13_TEXT(8),Q13(9),Q13_TEXT(9),Q13(10),Q13_TEXT(10),Q14(1),Q14_TEXT(1),Q14(2),Q14_TEXT(2),Q14(3),Q14_TEXT(3),Q14(4),Q14_TEXT(4),Q14(5),Q14_TEXT(5),Q14(6),Q14_TEXT(6),Q14(7),Q14_TEXT(7),Q14(8),Q14_TEXT(8),Q14(9),Q14_TEXT(9),Q14(10),Q14_TEXT(10),Q15,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q19,Q20,Q20_TEXT,Q21,Q21_TEXT,Q22,Q22_TEXT
Student,"Who in the EPET program has most frequently helped you? Rank them, with the most beneficial on t...-Person 1","Who in the EPET program has most frequently helped you? Rank them, with the most beneficial on t...-Person 2","Who in the EPET program has most frequently helped you? Rank them, with the most beneficial on t...-Person 3","Who in the EPET program has most frequently helped you? Rank them, with the most beneficial on t...-Person 4","Who in the EPET program has most frequently helped you? Rank them, with the most beneficial on t...-Person 5","Who in the EPET program has most frequently helped you? Rank them, with the most beneficial on t...-Person 6","Who in the EPET program has most frequently helped you? Rank them, with the most beneficial on t...-Person 7","Who in the EPET program has most frequently helped you? Rank them, with the most beneficial on t...-Person 8","Who in the EPET program has most frequently helped you? Rank them, with the most beneficial on t...-Person 9","Who in the EPET program has most frequently helped you? Rank them, with the most beneficial on t...-Person 10",What is your relationship with ${lm://Field/1}? (1),What is your relationship with ${lm://Field/1}? (2),What is your relationship with ${lm://Field/1}? (3),What is your relationship with ${lm://Field/1}? (4),What is your relationship with ${lm://Field/1}? (5),What is your relationship with ${lm://Field/1}? (6),What is your relationship with ${lm://Field/1}? (7),What is your relationship with ${lm://Field/1}? (8),What is your relationship with ${lm://Field/1}? (9),What is your relationship with ${lm://Field/1}? (10),The most important aspect of my relationship with ${lm://Field/1} is... (1),The most important aspect of my relationship with ${lm://Field/1} is... (1)-TEXT,The most important aspect of my relationship with ${lm://Field/1} is... (2),The most important aspect of my relationship with ${lm://Field/1} is... (2)-TEXT,The most important aspect of my relationship with ${lm://Field/1} is... (3),The most important aspect of my relationship with ${lm://Field/1} is... (3)-TEXT,The most important aspect of my relationship with ${lm://Field/1} is... (4),The most important aspect of my relationship with ${lm://Field/1} is... (4)-TEXT,The most important aspect of my relationship with ${lm://Field/1} is... (5),The most important aspect of my relationship with ${lm://Field/1} is... (5)-TEXT,The most important aspect of my relationship with ${lm://Field/1} is... (6),The most important aspect of my relationship with ${lm://Field/1} is... (6)-TEXT,The most important aspect of my relationship with ${lm://Field/1} is... (7),The most important aspect of my relationship with ${lm://Field/1} is... (7)-TEXT,The most important aspect of my relationship with ${lm://Field/1} is... (8),The most important aspect of my relationship with ${lm://Field/1} is... (8)-TEXT,The most important aspect of my relationship with ${lm://Field/1} is... (9),The most important aspect of my relationship with ${lm://Field/1} is... (9)-TEXT,The most important aspect of my relationship with ${lm://Field/1} is... (10),The most important aspect of my relationship with ${lm://Field/1} is... (10)-TEXT,The second most important aspect of my relationship with ${lm://Field/1} is... (1),The second most important aspect of my relationship with ${lm://Field/1} is... (1)-TEXT,The second most important aspect of my relationship with ${lm://Field/1} is... (2),The second most important aspect of my relationship with ${lm://Field/1} is... (2)-TEXT,The second most important aspect of my relationship with ${lm://Field/1} is... (3),The second most important aspect of my relationship with ${lm://Field/1} is... (3)-TEXT,The second most important aspect of my relationship with ${lm://Field/1} is... (4),The second most important aspect of my relationship with ${lm://Field/1} is... (4)-TEXT,The second most important aspect of my relationship with ${lm://Field/1} is... (5),The second most important aspect of my relationship with ${lm://Field/1} is... (5)-TEXT,The second most important aspect of my relationship with ${lm://Field/1} is... (6),The second most important aspect of my relationship with ${lm://Field/1} is... (6)-TEXT,The second most important aspect of my relationship with ${lm://Field/1} is... (7),The second most important aspect of my relationship with ${lm://Field/1} is... (7)-TEXT,The second most important aspect of my relationship with ${lm://Field/1} is... (8),The second most important aspect of my relationship with ${lm://Field/1} is... (8)-TEXT,The second most important aspect of my relationship with ${lm://Field/1} is... (9),The second most important aspect of my relationship with ${lm://Field/1} is... (9)-TEXT,The second most important aspect of my relationship with ${lm://Field/1} is... (10),The second most important aspect of my relationship with ${lm://Field/1} is... (10)-TEXT,The third most important aspect of my relationship with ${lm://Field/1} is... (1),The third most important aspect of my relationship with ${lm://Field/1} is... (1)-TEXT,The third most important aspect of my relationship with ${lm://Field/1} is... (2),The third most important aspect of my relationship with ${lm://Field/1} is... (2)-TEXT,The third most important aspect of my relationship with ${lm://Field/1} is... (3),The third most important aspect of my relationship with ${lm://Field/1} is... (3)-TEXT,The third most important aspect of my relationship with ${lm://Field/1} is... (4),The third most important aspect of my relationship with ${lm://Field/1} is... (4)-TEXT,The third most important aspect of my relationship with ${lm://Field/1} is... (5),The third most important aspect of my relationship with ${lm://Field/1} is... (5)-TEXT,The third most important aspect of my relationship with ${lm://Field/1} is... (6),The third most important aspect of my relationship with ${lm://Field/1} is... (6)-TEXT,The third most important aspect of my relationship with ${lm://Field/1} is... (7),The third most important aspect of my relationship with ${lm://Field/1} is... (7)-TEXT,The third most important aspect of my relationship with ${lm://Field/1} is... (8),The third most important aspect of my relationship with ${lm://Field/1} is... (8)-TEXT,The third most important aspect of my relationship with ${lm://Field/1} is... (9),The third most important aspect of my relationship with ${lm://Field/1} is... (9)-TEXT,The third most important aspect of my relationship with ${lm://Field/1} is... (10),The third most important aspect of my relationship with ${lm://Field/1} is... (10)-TEXT,What type of interaction makes you feel most connected with ${lm://Field/1}? (1),What type of interaction makes you feel most connected with ${lm://Field/1}? (2),What type of interaction makes you feel most connected with ${lm://Field/1}? (3),What type of interaction makes you feel most connected with ${lm://Field/1}? (4),What type of interaction makes you feel most connected with ${lm://Field/1}? (5),What type of interaction makes you feel most connected with ${lm://Field/1}? (6),What type of interaction makes you feel most connected with ${lm://Field/1}? (7),What type of interaction makes you feel most connected with ${lm://Field/1}? (8),What type of interaction makes you feel most connected with ${lm://Field/1}? (9),What type of interaction makes you feel most connected with ${lm://Field/1}? (10),I feel most connected with ${lm://Field/1} when we interact via... (1),I feel most connected with ${lm://Field/1} when we interact via... (1)-TEXT,I feel most connected with ${lm://Field/1} when we interact via... (2),I feel most connected with ${lm://Field/1} when we interact via... (2)-TEXT,I feel most connected with ${lm://Field/1} when we interact via... (3),I feel most connected with ${lm://Field/1} when we interact via... (3)-TEXT,I feel most connected with ${lm://Field/1} when we interact via... (4),I feel most connected with ${lm://Field/1} when we interact via... (4)-TEXT,I feel most connected with ${lm://Field/1} when we interact via... (5),I feel most connected with ${lm://Field/1} when we interact via... (5)-TEXT,I feel most connected with ${lm://Field/1} when we interact via... (6),I feel most connected with ${lm://Field/1} when we interact via... (6)-TEXT,I feel most connected with ${lm://Field/1} when we interact via... (7),I feel most connected with ${lm://Field/1} when we interact via... (7)-TEXT,I feel most connected with ${lm://Field/1} when we interact via... (8),I feel most connected with ${lm://Field/1} when we interact via... (8)-TEXT,I feel most connected with ${lm://Field/1} when we interact via... (9),I feel most connected with ${lm://Field/1} when we interact via... (9)-TEXT,I feel most connected with ${lm://Field/1} when we interact via... (10),I feel most connected with ${lm://Field/1} when we interact via... (10)-TEXT,I feel second most connected with ${lm://Field/1} when we interact via... (1),I feel second most connected with ${lm://Field/1} when we interact via... (1)-TEXT,I feel second most connected with ${lm://Field/1} when we interact via... (2),I feel second most connected with ${lm://Field/1} when we interact via... (2)-TEXT,I feel second most connected with ${lm://Field/1} when we interact via... (3),I feel second most connected with ${lm://Field/1} when we interact via... (3)-TEXT,I feel second most connected with ${lm://Field/1} when we interact via... (4),I feel second most connected with ${lm://Field/1} when we interact via... (4)-TEXT,I feel second most connected with ${lm://Field/1} when we interact via... (5),I feel second most connected with ${lm://Field/1} when we interact via... (5)-TEXT,I feel second most connected with ${lm://Field/1} when we interact via... (6),I feel second most connected with ${lm://Field/1} when we interact via... (6)-TEXT,I feel second most connected with ${lm://Field/1} when we interact via... (7),I feel second most connected with ${lm://Field/1} when we interact via... (7)-TEXT,I feel second most connected with ${lm://Field/1} when we interact via... (8),I feel second most connected with ${lm://Field/1} when we interact via... (8)-TEXT,I feel second most connected with ${lm://Field/1} when we interact via... (9),I feel second most connected with ${lm://Field/1} when we interact via... (9)-TEXT,I feel second most connected with ${lm://Field/1} when we interact via... (10),I feel second most connected with ${lm://Field/1} when we interact via... (10)-TEXT,I feel third most connected with ${lm://Field/1} when we interact via... (1),I feel third most connected with ${lm://Field/1} when we interact via... (1)-TEXT,I feel third most connected with ${lm://Field/1} when we interact via... (2),I feel third most connected with ${lm://Field/1} when we interact via... (2)-TEXT,I feel third most connected with ${lm://Field/1} when we interact via... (3),I feel third most connected with ${lm://Field/1} when we interact via... (3)-TEXT,I feel third most connected with ${lm://Field/1} when we interact via... (4),I feel third most connected with ${lm://Field/1} when we interact via... (4)-TEXT,I feel third most connected with ${lm://Field/1} when we interact via... (5),I feel third most connected with ${lm://Field/1} when we interact via... (5)-TEXT,I feel third most connected with ${lm://Field/1} when we interact via... (6),I feel third most connected with ${lm://Field/1} when we interact via... (6)-TEXT,I feel third most connected with ${lm://Field/1} when we interact via... (7),I feel third most connected with ${lm://Field/1} when we interact via... (7)-TEXT,I feel third most connected with ${lm://Field/1} when we interact via... (8),I feel third most connected with ${lm://Field/1} when we interact via... (8)-TEXT,I feel third most connected with ${lm://Field/1} when we interact via... (9),I feel third most connected with ${lm://Field/1} when we interact via... (9)-TEXT,I feel third most connected with ${lm://Field/1} when we interact via... (10),I feel third most connected with ${lm://Field/1} when we interact via... (10)-TEXT,What is the purpose of the interaction with ${lm://Field/1}? (1),What is the purpose of the interaction with ${lm://Field/1}? (2),What is the purpose of the interaction with ${lm://Field/1}? (3),What is the purpose of the interaction with ${lm://Field/1}? (4),What is the purpose of the interaction with ${lm://Field/1}? (5),What is the purpose of the interaction with ${lm://Field/1}? (6),What is the purpose of the interaction with ${lm://Field/1}? (7),What is the purpose of the interaction with ${lm://Field/1}? (8),What is the purpose of the interaction with ${lm://Field/1}? (9),What is the purpose of the interaction with ${lm://Field/1}? (10),My most important interaction with ${lm://Field/1} is... (1),My most important interaction with ${lm://Field/1} is... (1)-TEXT,My most important interaction with ${lm://Field/1} is... (2),My most important interaction with ${lm://Field/1} is... (2)-TEXT,My most important interaction with ${lm://Field/1} is... (3),My most important interaction with ${lm://Field/1} is... (3)-TEXT,My most important interaction with ${lm://Field/1} is... (4),My most important interaction with ${lm://Field/1} is... (4)-TEXT,My most important interaction with ${lm://Field/1} is... (5),My most important interaction with ${lm://Field/1} is... (5)-TEXT,My most important interaction with ${lm://Field/1} is... (6),My most important interaction with ${lm://Field/1} is... (6)-TEXT,My most important interaction with ${lm://Field/1} is... (7),My most important interaction with ${lm://Field/1} is... (7)-TEXT,My most important interaction with ${lm://Field/1} is... (8),My most important interaction with ${lm://Field/1} is... (8)-TEXT,My most important interaction with ${lm://Field/1} is... (9),My most important interaction with ${lm://Field/1} is... (9)-TEXT,My most important interaction with ${lm://Field/1} is... (10),My most important interaction with ${lm://Field/1} is... (10)-TEXT,My second most important interaction with ${lm://Field/1} is... (1),My second most important interaction with ${lm://Field/1} is... (1)-TEXT,My second most important interaction with ${lm://Field/1} is... (2),My second most important interaction with ${lm://Field/1} is... (2)-TEXT,My second most important interaction with ${lm://Field/1} is... (3),My second most important interaction with ${lm://Field/1} is... (3)-TEXT,My second most important interaction with ${lm://Field/1} is... (4),My second most important interaction with ${lm://Field/1} is... (4)-TEXT,My second most important interaction with ${lm://Field/1} is... (5),My second most important interaction with ${lm://Field/1} is... (5)-TEXT,My second most important interaction with ${lm://Field/1} is... (6),My second most important interaction with ${lm://Field/1} is... (6)-TEXT,My second most important interaction with ${lm://Field/1} is... (7),My second most important interaction with ${lm://Field/1} is... (7)-TEXT,My second most important interaction with ${lm://Field/1} is... (8),My second most important interaction with ${lm://Field/1} is... (8)-TEXT,My second most important interaction with ${lm://Field/1} is... (9),My second most important interaction with ${lm://Field/1} is... (9)-TEXT,My second most important interaction with ${lm://Field/1} is... (10),My second most important interaction with ${lm://Field/1} is... (10)-TEXT,My third most important interaction with ${lm://Field/1} is... (1),My third most important interaction with ${lm://Field/1} is... (1)-TEXT,My third most important interaction with ${lm://Field/1} is... (2),My third most important interaction with ${lm://Field/1} is... (2)-TEXT,My third most important interaction with ${lm://Field/1} is... (3),My third most important interaction with ${lm://Field/1} is... (3)-TEXT,My third most important interaction with ${lm://Field/1} is... (4),My third most important interaction with ${lm://Field/1} is... (4)-TEXT,My third most important interaction with ${lm://Field/1} is... (5),My third most important interaction with ${lm://Field/1} is... (5)-TEXT,My third most important interaction with ${lm://Field/1} is... (6),My third most important interaction with ${lm://Field/1} is... (6)-TEXT,My third most important interaction with ${lm://Field/1} is... (7),My third most important interaction with ${lm://Field/1} is... (7)-TEXT,My third most important interaction with ${lm://Field/1} is... (8),My third most important interaction with ${lm://Field/1} is... (8)-TEXT,My third most important interaction with ${lm://Field/1} is... (9),My third most important interaction with ${lm://Field/1} is... (9)-TEXT,My third most important interaction with ${lm://Field/1} is... (10),My third most important interaction with ${lm://Field/1} is... (10)-TEXT,Are you a hybrid or face to face student?,Who is your advisor?,What year are you in the program?,What milestones have you completed?-First year end review,What milestones have you completed?-Grad plan finalized,What milestones have you completed?-Practicum committee established,What milestones have you completed?-Proposed practicum,What milestones have you completed?-Passed practicum,What milestones have you completed?-Comps passed,What milestones have you completed?-Dissertation proposed,What milestones have you completed?-Dissertation defended,What three things do you hope to get out of the EPET program?,What do you most hope to get out of the EPET program?,What do you most hope to get out of the EPET program?-TEXT,What is the second thing you most hope to get out of the EPET program?,What is the second thing you most hope to get out of the EPET program?-TEXT,What the third thing you most hope to get out of the EPET program?,What the third thing you most hope to get out of the EPET program?-TEXT
13101,13107,16207,12102,,,,,,,,1,1,1,,,,,,,,9,,,,8,,,,,,,,,,,,,,,,12,,12,,9,,,,,,,,,,,,,,,,4,,8,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,11,,11,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,10,,8,,2,,,,,,,,,,,,,,,,7,,2,,5,,,,,,,,,,,,,,,,8,,5,,7,,,,,,,,,,,,,,,,2,30101,4,1,1,1,1,1,1,,,1,3,,5,,4,
14205,10101,12202,14211,14208,14204,12201,,,,,1,1,1,1,1,1,,,,,10,,10,,4,,4,,4,,5,,,,,,,,,,9,,5,,9,,9,,9,,10,,,,,,,,,,5,,13,,10,,10,,10,,9,,,,,,,,,,1,1,1,1,1,1,,,,,1,,1,,1,,1,,1,,1,,,,,,,,,,6,,3,,6,,6,,6,,3,,,,,,,,,,4,,11,,3,,3,,3,,11,,,,,,,,,,1,1,1,1,1,1,,,,,10,,10,,7,,7,,10,,10,,,,,,,,,,1,,1,,2,,2,,5,,1,,,,,,,,,,7,,5,,8,,5,,2,,5,,,,,,,,,,1,30108,3,1,1,1,1,,,,,1,1,,2,,4,
13103,12102,12104,13102,14102,15103,13110,14103,15105,20110,,1,1,1,1,1,1,1,1,1,,9,,5,,4,,7,,7,,4,,5,,7,,5,,,,5,,10,,10,,4,,10,,,,10,,,,7,,,,7,,7,,,,10,,,,,,3,,,,,,,,1,1,1,1,1,1,1,1,1,,1,,11,,1,,1,,1,,1,,1,,1,,1,,,,4,,1,,2,,4,,13,,,,11,,5,,11,,,,6,,,,,,,,,,,,,,13,,4,,,,1,1,1,1,1,1,1,1,1,,2,,10,,10,,10,,7,,7,,7,,10,,10,,,,5,,5,,7,,3,,10,,,,10,,5,,5,,,,,,,,,,,,,,,,,,1,,,,,,2,30102,4,1,1,1,1,1,,,,1,6,,1,,4,
14211,group,advisor,faculty,12202,research groups ,,,,,,1,1,1,1,1,,,,,,10,,8,,14,,5,,7,,,,,,,,,,,,4,,10,,14,,10,,8,,,,,,,,,,,,9,,14,,9,,9,,10,,,,,,,,,,,,1,1,1,1,1,,,,,,1,,3,,3,,3,,3,,,,,,,,,,,,3,,11,,11,,11,,11,,,,,,,,,,,,6,,4,,6,,1,,7,,,,,,,,,,,,1,1,1,1,1,,,,,,2,,7,,2,,10,,7,,,,,,,,,,,,10,,2,,8,,7,,2,,,,,,,,,,,,7,,7,,10,,5,,10,,,,,,,,,,,,1,30114/30112,3,1,1,1,1,,,,,1,2,,4,,3,
14101,12104,12102,20110,15101,14103,14102,15104,13103,13102,,1,1,1,1,1,1,1,1,1,,10,,9,,9,,7,,9,,9,,9,,5,,9,,,,7,,10,,10,,10,,5,,5,,7,,7,,5,,,,9,,12,,7,,5,,3,,3,,10,,9,,13,TE 150 instructors,,,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,3,,4,,11,,3,,4,,4,,11,,3,,11,,,,11,,11,,3,,11,,11,,11,,4,,11,,,,,,1,1,1,1,1,1,1,1,1,,5,,5,,10,,10,,7,,7,,7,,8,,7,,,,7,,10,,2,,3,,10,,10,,8,,7,,1,,,,10,,7,,7,,5,,4,,4,,3,,5,,10,,,,2,30113,3,1,1,1,1,,,,,1,4,,3,,2,
13108,13110,13102,13106,14202,13103,13104,,,,,1,1,1,1,1,1,,,,,12,,9,,3,,5,,3,,3,,,,,,,,,,4,,4,,12,,12,,9,,4,,,,,,,,,,11,,10,,10,,7,,10,,10,,,,,,,,,,1,1,1,1,1,1,,,,,1,,1,,3,,3,,1,,1,,,,,,,,,,3,,3,,2,,5,,4,,11,,,,,,,,,,5,,2,,5,,6,,6,,3,,,,,,,,,,1,1,1,1,1,1,,,,,8,,7,,7,,8,,7,,7,,,,,,,,,,3,,10,,8,,7,,10,,10,,,,,,,,,,2,,3,,3,,5,,5,,5,,,,,,,,,,2,30117,3,,,,,1,,,,1,3,,5,,4,
15101,12104,14101,15104,,,,,,,,1,1,1,,,,,,,,7,,7,,4,,,,,,,,,,,,,,,,10,,6,,9,,,,,,,,,,,,,,,,9,,10,,11,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,3,,3,,3,,,,,,,,,,,,,,,,11,,11,,11,,,,,,,,,,,,,,,,1,1,1,,,,,,,,10,,8,,8,,,,,,,,,,,,,,,,8,,5,,10,,,,,,,,,,,,,,,,3,,10,,6,,,,,,,,,,,,,,,,2,30113,2,1,,,,,,,,1,2,,1,,4,
13106,13108,13110,13107,,,,,,,,1,1,1,,,,,,,,4,,4,,4,,,,,,,,,,,,,,,,3,,3,,3,,,,,,,,,,,,,,,,12,,9,,9,,,,,,,,,,,,,,,,1,1,1,,,,,,,,3,,6,,1,,,,,,,,,,,,,,,,1,,11,,4,,,,,,,,,,,,,,,,11,,1,,6,,,,,,,,,,,,,,,,1,1,1,,,,,,,,7,,5,,7,,,,,,,,,,,,,,,,10,,7,,5,,,,,,,,,,,,,,,,8,,1,,1,,,,,,,,,,,,,,,,2,30107,3,1,1,1,1,1,1,1,,1,1,,4,,2,
13102,14103,13108,20107,13110,12102,13107,13109,,,,1,1,1,1,1,1,1,,,,9,,4,,10,,4,,5,,4,,4,,,,,,,,10,,10,,14,,13,Fellow TA,13,Josh is a year ahead of me and is able to offer advice from having more experience,,,10,,,,,,,,,,9,,13,Unofficial mentor (she is several years ahead of me),,,,,,,13,Fellow TAs,,,,,,,1,1,1,1,1,1,1,,,,1,,1,,2,,1,,11,,1,,1,,,,,,,,4,,4,,1,,3,,1,,,,11,,,,,,,,3,,3,,3,,11,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,7,,7,,1,,8,,10,,10,,2,,,,,,,,10,,10,,2,,5,,5,,5,,5,,,,,,,,5,,,,5,,,,,,,,8,,,,,,,,2,30115,3,1,1,1,1,1,1,,,1,2,,4,,6,
